ID,Kategori,Model,Segment,Kullanım Amacı,İşlemci,RAM,Depolama,GPU,Ekran,İşletim Sistemi,Fiyat (TL),Batarya (mAh),Kamera (MP),5G,NFC,Su Geçirmezlik,GPS,Kulaklık Tipi,Sürücü Boyutu,Frekans Yanıtı,Gürültü Engelleme,Mikrofon,Bağlantı Türü,Pil Ömrü,Pil Ömrü (gün)
27416,Tablet,Xiaomi Pad 7 Wi-Fi 128GB,Orta Segment,Medya Tüketimi,Snapdragon 7s Gen 3,8GB,128GB,,11.2 inç IPS 144Hz,Android 15,11154,,,Hayır,Hayır,Yok,,,,,,,,,
27417,Bilgisayar,Razer Blade 16 RTX 4090,Oyuncu,Oyun & Akış,Intel Core i9-14900HX,32GB,2TB SSD,NVIDIA RTX 4090 16GB,16 inç 4K MiniLED 240Hz,Windows 11 Home,152722,,,,,,,,,,,,,,
27418,Akıllı Saat / Bileklik,Samsung Galaxy Fit 3,Giriş Seviyesi,Fitness Takibi,—,,,,,RTOS,2478,,,,,5ATM,Hayır,,,,,,,,13
27419,Akıllı Saat / Bileklik,Garmin Forerunner 965,Premium & Spor,Koşu & Antrenman,Garmin özel,,,,,Garmin OS,22305,,,,,5ATM,Evet,,,,,,,,23
27420,Telefon,Redmi Note 14 Pro 256GB,Orta Segment,Günlük Kullanım,MediaTek Dimensity 7300 Ultra,8GB,256GB,,6.67 inç AMOLED 120Hz,Android 14,13683,5500,108+8+2MP,Evet,Hayır,IP54,,,,,,,,,
27421,Telefon,Samsung Galaxy S25 128GB,Amiral Gemisi,Günlük Kullanım,Snapdragon 8 Elite,12GB,128GB,,6.2 inç Dynamic AMOLED 2X 120Hz,Android 15,47146,4000,50+12+10MP,Evet,Evet,IP68,,,,,,,,,
27422,Kulaklık,Anker Soundcore Liberty 4 NC,Orta Segment,Bütçe Dostu,,,,,,,1985,,,,,,,TWS,11mm,20Hz-20kHz,Adaptif ANC,6 mikrofon,Bluetooth 5.3,10 saat (kılıfla 50),
27423,Telefon,Samsung Galaxy S25 128GB,Amiral Gemisi,Günlük Kullanım,Snapdragon 8 Elite,12GB,128GB,,6.2 inç Dynamic AMOLED 2X 120Hz,Android 15,45450,4000,50+12+10MP,Evet,Evet,IP68,,,,,,,,,
27424,Telefon,Samsung Galaxy A17 5G 256GB,Giriş Seviyesi,Bütçe Dostu,Exynos 1280,8GB,256GB,,6.5 inç Super AMOLED 90Hz,Android 15,13730,5000,50+5+2MP,Evet,Hayır,Yok,,,,,,,,,
27425,Telefon,iPhone 16 Pro Max 256GB,Amiral Gemisi,Video İçerik Üretimi,Apple A18 Pro,8GB,256GB,,6.9 inç Super Retina XDR ProMotion OLED 120Hz,iOS 18,128500,4685,48+48+12MP,Evet,Evet,IP68,,,,,,,,,
27426,Akıllı Saat / Bileklik,OnePlus Watch 3,Üst Segment,Günlük Kullanım,Snapdragon W5+,,,,,Wear OS 5,8994,,,,,5ATM,Evet,,,,,,,,16
27427,Tablet,Apple iPad 10. nesil Wi-Fi 256GB,Orta Segment,Medya Tüketimi,Apple A14 Bionic,4GB,256GB,,10.9 inç IPS 60Hz,iPadOS 18,20163,,,Hayır,Evet,IP68,,,,,,,,,
27428,Telefon,iPhone 16 Pro 128GB,Amiral Gemisi,Fotoğrafçılık,Apple A18 Pro,8GB,128GB,,6.3 inç Super Retina XDR ProMotion OLED 120Hz,iOS 18,100966,3582,48+48+12MP,Evet,Evet,IP68,,,,,,,,,
27429,Tablet,Xiaomi Pad 7 Pro Wi-Fi 256GB,Üst Segment,Oyun,Snapdragon 8s Gen 3,8GB,256GB,,11.2 inç IPS 144Hz,Android 15,17798,,,Hayır,Hayır,Yok,,,,,,,,,
27430,Telefon,Redmi Note 14 Pro+ 5G 256GB,Orta Segment,Fotoğrafçılık,MediaTek Dimensity 9200+,12GB,256GB,,6.67 inç AMOLED 120Hz,Android 14,19926,5110,200+8+2MP,Evet,Evet,IP68,,,,,,,,,
27431,Bilgisayar,MacBook Pro M4 Pro 14 24GB,İş İstasyonu,Yazılım Geliştirme,Apple M4 Pro,24GB,512GB SSD,Apple M4 Pro GPU 20-core,14.2 inç Liquid Retina XDR 120Hz,macOS Sequoia,94654,,,,,,,,,,,,,,
27432,Telefon,iPhone 17 Pro Max 1TB,Amiral Gemisi,Video İçerik Üretimi,Apple A19 Pro,8GB,1TB,,6.9 inç Super Retina XDR ProMotion OLED 120Hz,iOS 18,161109,4685,48+48+12MP,Evet,Evet,IP68,,,,,,,,,
27433,Tablet,Microsoft Surface Pro 10 i5 256GB,Pro,İş,Intel Core Ultra 5 134U,16GB,256GB,,13 inç PixelSense Flow 120Hz,Windows 11 Pro,58008,,,Hayır,Evet,Yok,,,,,,,,,
27434,Akıllı Saat / Bileklik,Apple Watch Ultra 2 49mm Titanium,Premium & Spor,Outdoor & Doğa,Apple S9,,,,,watchOS 11,48711,,,,,10ATM,Evet,,,,,,,,60
27435,Kulaklık,Samsung Galaxy Buds 3 FE,Giriş Seviyesi,Bütçe Dostu,,,,,,,3448,,,,,,,TWS,8.5mm,20Hz-20kHz,ANC,3 mikrofon,Bluetooth 5.2,5 saat (kılıfla 21),
27436,Akıllı Saat / Bileklik,Garmin Fenix 8 AMOLED 51mm,Premium & Spor,Outdoor & Doğa,Garmin özel,,,,,Garmin OS,41524,,,,,10ATM,Evet,,,,,,,,29
27437,Tablet,Xiaomi Pad 7 Wi-Fi 128GB,Orta Segment,Medya Tüketimi,Snapdragon 7s Gen 3,8GB,128GB,,11.2 inç IPS 144Hz,Android 15,10968,,,Hayır,Hayır,Yok,,,,,,,,,
27438,Bilgisayar,Huawei MateBook D14 i5,Bütçe,Ofis,Intel Core i5-12450H,16GB,512GB SSD,Intel UHD Graphics,14 inç FHD IPS 60Hz,Windows 11 Home,19728,,,,,,,,,,,,,,
27439,Telefon,Moto G86 256GB,Orta Segment,Günlük Kullanım,Snapdragon 695,8GB,256GB,,6.67 inç pOLED 120Hz,Android 15,11088,5000,50+8MP,Evet,Evet,IP52,,,,,,,,,
27440,Telefon,Xiaomi 14T 256GB,Üst Segment,Günlük Kullanım,MediaTek Dimensity 8300 Ultra,12GB,256GB,,6.67 inç AMOLED 144Hz,Android 14,20720,5000,50+12+2MP,Evet,Evet,IP68,,,,,,,,,
27441,Telefon,Redmi Note 14 Pro 256GB,Orta Segment,Günlük Kullanım,MediaTek Dimensity 7300 Ultra,8GB,256GB,,6.67 inç AMOLED 120Hz,Android 14,14190,5500,108+8+2MP,Evet,Hayır,IP54,,,,,,,,,
27442,Bilgisayar,MacBook Air M3 13 8GB 256GB,Üst Segment,Günlük Kullanım,Apple M3,8GB,256GB SSD,Apple M3 GPU 10-core,13.6 inç Liquid Retina 60Hz,macOS Sequoia,37529,,,,,,,,,,,,,,
27443,Bilgisayar,MacBook Pro M4 Max 16 48GB,İş İstasyonu,3D Modelleme,Apple M4 Max,48GB,1TB SSD,Apple M4 Max GPU 40-core,16.2 inç Liquid Retina XDR 120Hz,macOS Sequoia,166836,,,,,,,,,,,,,,
27444,Akıllı Saat / Bileklik,Apple Watch SE 2 44mm GPS+Cellular,Orta Segment,Günlük Kullanım,Apple S8,,,,,watchOS 11,16839,,,,,WR50,Evet,,,,,,,,18
27445,Akıllı Saat / Bileklik,Garmin Instinct 3 Solar,Premium & Spor,Outdoor & Doğa,Garmin özel,,,,,Garmin OS,24533,,,,,MIL-STD,Evet,,,,,,,,Sonsuz
27446,Tablet,Microsoft Surface Pro 10 i5 256GB,Pro,İş,Intel Core Ultra 5 134U,16GB,256GB,,13 inç PixelSense Flow 120Hz,Windows 11 Pro,57751,,,Hayır,Evet,Yok,,,,,,,,,
27447,Kulaklık,JBL Tour Pro 3,Üst Segment,İş & Video Konferans,,,,,,,7562,,,,,,,TWS,10mm,20Hz-20kHz,Hibrit ANC,6 mikrofon,Bluetooth 5.3,10 saat (kılıfla 40),
27448,Telefon,Nothing Phone (3) 256GB,Üst Segment,Günlük Kullanım,Snapdragon 8s Gen 4,12GB,256GB,,6.77 inç LTPO AMOLED 120Hz,Android 15,27719,5000,50+50MP,Evet,Evet,IP54,,,,,,,,,
27449,Kulaklık,JBL Tune 770NC,Giriş Seviyesi,Bütçe Dostu,,,,,,,2975,,,,,,,Kulak Üstü Kablosuz,40mm,20Hz-20kHz,ANC,2 mikrofon,Bluetooth 5.3,38 saat,
27450,Bilgisayar,MacBook Air M4 13 16GB 512GB,Üst Segment,İçerik Üretimi,Apple M4,16GB,512GB SSD,Apple M4 GPU 10-core,13.6 inç Liquid Retina 60Hz,macOS Sequoia,55376,,,,,,,,,,,,,,
27451,Telefon,iPhone Air 1TB,Amiral Gemisi,İçerik Üretimi,Apple A19 Pro,8GB,1TB,,6.5 inç Super Retina XDR OLED 120Hz,iOS 18,134592,2830,48MP,Evet,Evet,IP68,,,,,,,,,
27452,Tablet,Samsung Galaxy Tab S9 FE Wi-Fi 128GB,Orta Segment,Medya Tüketimi,Exynos 1380,6GB,128GB,,10.9 inç TFT IPS 90Hz,Android 14,13885,,,Hayır,Evet,IP68,,,,,,,,,
27453,Akıllı Saat / Bileklik,OnePlus Watch 3,Üst Segment,Günlük Kullanım,Snapdragon W5+,,,,,Wear OS 5,9060,,,,,5ATM,Evet,,,,,,,,16
27454,Kulaklık,JBL Tour Pro 3,Üst Segment,İş & Video Konferans,,,,,,,7511,,,,,,,TWS,10mm,20Hz-20kHz,Hibrit ANC,6 mikrofon,Bluetooth 5.3,10 saat (kılıfla 40),
27455,Telefon,iPhone 17 Pro Max 512GB,Amiral Gemisi,Video İçerik Üretimi,Apple A19 Pro,8GB,512GB,,6.9 inç Super Retina XDR ProMotion OLED 120Hz,iOS 18,149320,4685,48+48+12MP,Evet,Evet,IP68,,,,,,,,,
27456,Tablet,Samsung Galaxy Tab A9 Wi-Fi 64GB,Giriş Seviyesi,Medya Tüketimi,MediaTek Helio G99,4GB,64GB,,8.7 inç TFT IPS 90Hz,Android 13,5947,,,Hayır,Hayır,Yok,,,,,,,,,
27457,Telefon,Sony Xperia 10 VII 128GB,Orta Segment,Günlük Kullanım,Snapdragon 6 Gen 1,6GB,128GB,,6.1 inç FHD+ OLED 60Hz,Android 15,19301,5000,48+8MP,Evet,Evet,IP68,,,,,,,,,
27458,Telefon,Google Pixel 9 128GB,Amiral Gemisi,Fotoğrafçılık,Google Tensor G4,12GB,128GB,,6.3 inç OLED 120Hz,Android 15,42453,4700,50+10.5MP,Evet,Evet,IP68,,,,,,,,,
27459,Akıllı Saat / Bileklik,Huawei Watch 4 Pro LTE,Üst Segment,Sağlık Takibi,Kirin A2,,,,,HarmonyOS Watch,16445,,,,,5ATM,Evet,,,,,,,,21
27460,Bilgisayar,Lenovo IdeaPad Slim 5 16 i5,Orta Segment,Multitasking,Intel Core i5-1335U,16GB,512GB SSD,Intel Iris Xe Graphics,16 inç FHD IPS 60Hz,Windows 11 Home,21792,,,,,,,,,,,,,,
27461,Telefon,Google Pixel 9 128GB,Amiral Gemisi,Fotoğrafçılık,Google Tensor G4,12GB,128GB,,6.3 inç OLED 120Hz,Android 15,41732,4700,50+10.5MP,Evet,Evet,IP68,,,,,,,,,
27462,Akıllı Saat / Bileklik,Xiaomi Watch S4 Sport,Orta Segment,Günlük Kullanım,Snapdragon W5,,,,,RTOS,5512,,,,,5ATM,Evet,,,,,,,,15
27463,Telefon,Google Pixel 9 128GB,Amiral Gemisi,Fotoğrafçılık,Google Tensor G4,12GB,128GB,,6.3 inç OLED 120Hz,Android 15,42984,4700,50+10.5MP,Evet,Evet,IP68,,,,,,,,,
27464,Bilgisayar,Lenovo Yoga 7 2-in-1 i5,Üst Segment,İçerik Üretimi,Intel Core i5-1335U,16GB,512GB SSD,Intel Iris Xe Graphics,14 inç 2K IPS 90Hz,Windows 11 Home,31576,,,,,,,,,,,,,,
27465,Akıllı Saat / Bileklik,Garmin Vivoactive 5,Orta Segment,Fitness & Spor,Garmin özel,,,,,Garmin OS,11029,,,,,5ATM,Evet,,,,,,,,11
27466,Akıllı Saat / Bileklik,Huawei Band 9,Giriş Seviyesi,Fitness Takibi,—,,,,,RTOS,1991,,,,,5ATM,Hayır,,,,,,,,14
27467,Tablet,Samsung Galaxy Tab S9 Wi-Fi 128GB,Üst Segment,Medya Tüketimi,Snapdragon 8 Gen 2,8GB,128GB,,11 inç Dynamic AMOLED 2X 120Hz,Android 14,24268,,,Hayır,Evet,IP68,,,,,,,,,
27468,Kulaklık,Sennheiser MTW4,Üst Segment,Müzik Dinleme,,,,,,,8129,,,,,,,TWS,7mm,5Hz-21kHz,Hibrit ANC,5 mikrofon,Bluetooth 5.4,7.5 saat (kılıfla 30),
27469,Tablet,Apple iPad Air M2 13 Wi-Fi 128GB,Üst Segment,Profesyonel Tasarım,Apple M2,8GB,128GB,,13 inç Liquid Retina IPS 60Hz,iPadOS 18,35409,,,Hayır,Evet,IP68,,,,,,,,,
27470,Bilgisayar,MacBook Pro M5 16GB 14 512GB,İş İstasyonu,Yazılım Geliştirme,Apple M5,16GB,512GB SSD,Apple M5 GPU 10-core,14.2 inç Liquid Retina XDR 120Hz,macOS Sequoia,85280,,,,,,,,,,,,,,
27471,Akıllı Saat / Bileklik,OnePlus Watch 3,Üst Segment,Günlük Kullanım,Snapdragon W5+,,,,,Wear OS 5,8967,,,,,5ATM,Evet,,,,,,,,16
27472,Bilgisayar,Acer Swift Go 14 Ryzen 5,Orta Segment,Uzaktan Çalışma,AMD Ryzen 5 7530U,16GB,512GB SSD,AMD Radeon Graphics,14 inç 2K IPS 60Hz,Windows 11 Home,22827,,,,,,,,,,,,,,
27473,Bilgisayar,MacBook Pro M4 14 16GB,İş İstasyonu,Yazılım Geliştirme,Apple M4,16GB,512GB SSD,Apple M4 GPU 10-core,14.2 inç Liquid Retina XDR 120Hz,macOS Sequoia,68872,,,,,,,,,,,,,,
27474,Bilgisayar,Microsoft Surface Laptop 6 i5,Üst Segment,İş,Intel Core Ultra 5 135H,16GB,512GB SSD,Intel Arc Graphics,13.5 inç PixelSense 120Hz,Windows 11 Home,45909,,,,,,,,,,,,,,
27475,Kulaklık,Apple AirPods 4,Orta Segment,Günlük Kullanım,,,,,,,6470,,,,,,,TWS,—,20Hz-20kHz,Pasif,2 mikrofon,Bluetooth 5.3,5 saat (kılıfla 30),
27476,Bilgisayar,MSI Katana 15 RTX 4060,Oyuncu,Oyun,Intel Core i7-13620H,16GB,512GB SSD,NVIDIA RTX 4060 8GB,15.6 inç FHD IPS 144Hz,Windows 11 Home,42931,,,,,,,,,,,,,,
27477,Akıllı Saat / Bileklik,Garmin Instinct 3 Solar,Premium & Spor,Outdoor & Doğa,Garmin özel,,,,,Garmin OS,23923,,,,,MIL-STD,Evet,,,,,,,,Sonsuz
27478,Telefon,Redmi Note 14 128GB,Orta Segment,Bütçe Dostu,Snapdragon 685,8GB,128GB,,6.67 inç IPS LCD 90Hz,Android 14,8966,5500,108+2+2MP,Hayır,Hayır,IP54,,,,,,,,,
27479,Bilgisayar,MacBook Pro M4 14 16GB,İş İstasyonu,Yazılım Geliştirme,Apple M4,16GB,512GB SSD,Apple M4 GPU 10-core,14.2 inç Liquid Retina XDR 120Hz,macOS Sequoia,68368,,,,,,,,,,,,,,
27480,Telefon,Sony Xperia 1 VII 256GB,Amiral Gemisi,Fotoğrafçılık,Snapdragon 8 Elite,12GB,256GB,,6.5 inç 4K OLED 120Hz,Android 15,63266,5000,52+12+12MP,Evet,Evet,IP65,,,,,,,,,
27481,Tablet,Apple iPad Air M2 13 Wi-Fi 128GB,Üst Segment,Profesyonel Tasarım,Apple M2,8GB,128GB,,13 inç Liquid Retina IPS 60Hz,iPadOS 18,34441,,,Hayır,Evet,IP68,,,,,,,,,
27482,Bilgisayar,Microsoft Surface Laptop 6 i5,Üst Segment,İş,Intel Core Ultra 5 135H,16GB,512GB SSD,Intel Arc Graphics,13.5 inç PixelSense 120Hz,Windows 11 Home,46685,,,,,,,,,,,,,,
27483,Tablet,Samsung Galaxy Tab A9+ Wi-Fi 64GB,Giriş Seviyesi,Uzaktan Eğitim,Snapdragon 695,4GB,64GB,,11 inç TFT IPS 90Hz,Android 13,8015,,,Hayır,Hayır,Yok,,,,,,,,,
27484,Bilgisayar,Asus VivoBook 15 i3,Bütçe,Öğrenci,Intel Core i3-1315U,8GB,512GB SSD,Intel UHD Graphics,15.6 inç FHD IPS 60Hz,Windows 11 Home,12239,,,,,,,,,,,,,,
27485,Telefon,iPhone 17 512GB,Amiral Gemisi,Fotoğrafçılık,Apple A19,8GB,512GB,,6.3 inç Super Retina XDR OLED 120Hz,iOS 18,99239,3726,48+48MP,Evet,Evet,IP68,,,,,,,,,
27486,Kulaklık,Audio-Technica ATH-M50xBT2,Orta Segment,Stüdyo Kayıt,,,,,,,5879,,,,,,,Kulak Üstü Kablosuz,45mm,15Hz-28kHz,Pasif Yalıtım,2 mikrofon,Bluetooth 5.0,50 saat,
27487,Telefon,Samsung Galaxy S25 Ultra 256GB,Amiral Gemisi,Fotoğrafçılık,Snapdragon 8 Elite,12GB,256GB,,6.9 inç Dynamic AMOLED 2X 120Hz,Android 15,74796,5000,200+50+10+12MP,Evet,Evet,IP68,,,,,,,,,
27488,Telefon,iPhone 17e 512GB,Amiral Gemisi,Günlük Kullanım,Apple A19,8GB,512GB,,6.1 inç Super Retina XDR OLED 60Hz,iOS 18,73837,3279,48MP,Evet,Evet,IP68,,,,,,,,,
27489,Akıllı Saat / Bileklik,Amazfit T-Rex 3,Üst Segment,Outdoor & Doğa,—,,,,,Zepp OS,9902,,,,,10ATM,Evet,,,,,,,,20
27490,Kulaklık,Anker Soundcore Liberty 4 NC,Orta Segment,Bütçe Dostu,,,,,,,2035,,,,,,,TWS,11mm,20Hz-20kHz,Adaptif ANC,6 mikrofon,Bluetooth 5.3,10 saat (kılıfla 50),
27491,Telefon,Google Pixel 9 Pro 128GB,Amiral Gemisi,Fotoğrafçılık,Google Tensor G4,16GB,128GB,,6.3 inç LTPO OLED 120Hz,Android 15,55281,4700,50+48+48MP,Evet,Evet,IP68,,,,,,,,,
27492,Akıllı Saat / Bileklik,Apple Watch SE 2 40mm GPS,Orta Segment,Günlük Kullanım,Apple S8,,,,,watchOS 11,14087,,,,,WR50,Evet,,,,,,,,18
27493,Kulaklık,Samsung Galaxy Buds 3 FE,Giriş Seviyesi,Bütçe Dostu,,,,,,,3539,,,,,,,TWS,8.5mm,20Hz-20kHz,ANC,3 mikrofon,Bluetooth 5.2,5 saat (kılıfla 21),
27494,Tablet,Huawei MatePad 11.5 S Wi-Fi 128GB,Orta Segment,Medya Tüketimi,Kirin 9000W,8GB,128GB,,11.5 inç IPS 144Hz,HarmonyOS 4,14947,,,Hayır,Hayır,IP54,,,,,,,,,
27495,Telefon,iPhone 16 Plus 128GB,Amiral Gemisi,Günlük Kullanım,Apple A18,8GB,128GB,,6.7 inç Super Retina XDR OLED 60Hz,iOS 18,81851,4674,48+12MP,Evet,Evet,IP68,,,,,,,,,
27496,Telefon,Sony Xperia 1 VII 256GB,Amiral Gemisi,Fotoğrafçılık,Snapdragon 8 Elite,12GB,256GB,,6.5 inç 4K OLED 120Hz,Android 15,61994,5000,52+12+12MP,Evet,Evet,IP65,,,,,,,,,
27497,Bilgisayar,HP Victus 16 RTX 4060,Oyuncu,Oyun,AMD Ryzen 7 7535HS,16GB,512GB SSD,NVIDIA RTX 4060 8GB,16.1 inç FHD IPS 144Hz,Windows 11 Home,40364,,,,,,,,,,,,,,
27498,Bilgisayar,HP Victus 16 RTX 4060,Oyuncu,Oyun,AMD Ryzen 7 7535HS,16GB,512GB SSD,NVIDIA RTX 4060 8GB,16.1 inç FHD IPS 144Hz,Windows 11 Home,40110,,,,,,,,,,,,,,
27499,Telefon,iPhone 16 Pro 256GB,Amiral Gemisi,Fotoğrafçılık,Apple A18 Pro,8GB,256GB,,6.3 inç Super Retina XDR ProMotion OLED 120Hz,iOS 18,114368,3582,48+48+12MP,Evet,Evet,IP68,,,,,,,,,
27500,Kulaklık,Jabra Elite 10,Üst Segment,İş & Video Konferans,,,,,,,6938,,,,,,,TWS,10mm,20Hz-20kHz,MultiSensor ANC,6 mikrofon,Bluetooth 5.3,6 saat (kılıfla 27),
27501,Bilgisayar,MacBook Air M4 13 8GB 256GB,Üst Segment,Günlük Kullanım,Apple M4,8GB,256GB SSD,Apple M4 GPU 10-core,13.6 inç Liquid Retina 60Hz,macOS Sequoia,45113,,,,,,,,,,,,,,
27502,Bilgisayar,Dell Inspiron 15 3520 i3,Bütçe,Öğrenci,Intel Core i3-1215U,8GB,512GB SSD,Intel UHD Graphics,15.6 inç FHD IPS 60Hz,Windows 11 Home,13089,,,,,,,,,,,,,,
27503,Tablet,Samsung Galaxy Tab S9 Wi-Fi 128GB,Üst Segment,Medya Tüketimi,Snapdragon 8 Gen 2,8GB,128GB,,11 inç Dynamic AMOLED 2X 120Hz,Android 14,23565,,,Hayır,Evet,IP68,,,,,,,,,
27504,Akıllı Saat / Bileklik,Garmin Instinct 3 Solar,Premium & Spor,Outdoor & Doğa,Garmin özel,,,,,Garmin OS,24423,,,,,MIL-STD,Evet,,,,,,,,Sonsuz
27505,Kulaklık,Apple AirPods Pro 3,Üst Segment,Günlük Kullanım,,,,,,,11592,,,,,,,TWS,6mm,20Hz-20kHz,Adaptif ANC,6 mikrofon,Bluetooth 5.4,8 saat (kılıfla 36),
27506,Tablet,Samsung Galaxy Tab S9 FE Wi-Fi 128GB,Orta Segment,Medya Tüketimi,Exynos 1380,6GB,128GB,,10.9 inç TFT IPS 90Hz,Android 14,13877,,,Hayır,Evet,IP68,,,,,,,,,
27507,Kulaklık,Samsung Galaxy Buds 3 FE,Giriş Seviyesi,Bütçe Dostu,,,,,,,3519,,,,,,,TWS,8.5mm,20Hz-20kHz,ANC,3 mikrofon,Bluetooth 5.2,5 saat (kılıfla 21),
27508,Tablet,Samsung Galaxy Tab S9 FE 5G 128GB,Orta Segment,Uzaktan Eğitim,Exynos 1380,6GB,128GB,,10.9 inç TFT IPS 90Hz,Android 14,16630,,,Evet,Evet,IP68,,,,,,,,,
27509,Akıllı Saat / Bileklik,Suunto Race S,Premium & Spor,Koşu & Antrenman,—,,,,,Suunto OS,16715,,,,,10ATM,Evet,,,,,,,,40
27510,Telefon,iPhone 16 256GB,Amiral Gemisi,Günlük Kullanım,Apple A18,8GB,256GB,,6.1 inç Super Retina XDR OLED 60Hz,iOS 18,81213,3561,48+12MP,Evet,Evet,IP68,,,,,,,,,
27511,Bilgisayar,Dell Inspiron 15 5000 i5,Orta Segment,Ofis,Intel Core i5-1335U,16GB,512GB SSD,Intel Iris Xe Graphics,15.6 inç FHD IPS 60Hz,Windows 11 Home,21066,,,,,,,,,,,,,,
27512,Tablet,Xiaomi Pad 7 Wi-Fi 128GB,Orta Segment,Medya Tüketimi,Snapdragon 7s Gen 3,8GB,128GB,,11.2 inç IPS 144Hz,Android 15,11226,,,Hayır,Hayır,Yok,,,,,,,,,
27513,Akıllı Saat / Bileklik,Redmi Watch 5 Active,Giriş Seviyesi,Fitness Takibi,—,,,,,RTOS,1528,,,,,5ATM,Evet,,,,,,,,18
27514,Kulaklık,JBL Tune 770NC,Giriş Seviyesi,Bütçe Dostu,,,,,,,2957,,,,,,,Kulak Üstü Kablosuz,40mm,20Hz-20kHz,ANC,2 mikrofon,Bluetooth 5.3,38 saat,
27515,Kulaklık,Apple AirPods Max 2 USB-C,Premium & Hi-Fi,Müzik Dinleme,,,,,,,26256,,,,,,,Kulak Üstü Kablosuz,40mm,20Hz-20kHz,Aktif ANC,8 mikrofon,Bluetooth 5.3,20 saat,
27516,Bilgisayar,Asus ProArt Studiobook 16,İş İstasyonu,3D Modelleme,Intel Core i9-13980HX,64GB,2TB SSD,NVIDIA RTX 4080 12GB,16 inç 3.2K OLED 120Hz,Windows 11 Pro,124910,,,,,,,,,,,,,,
27517,Telefon,OnePlus 13 256GB,Amiral Gemisi,Fotoğrafçılık,Snapdragon 8 Elite,12GB,256GB,,6.82 inç LTPO AMOLED 120Hz,Android 15,40019,6000,50+50+50MP,Evet,Evet,IP65,,,,,,,,,
27518,Bilgisayar,Asus ZenBook 14 OLED i7,Üst Segment,Yazılım Geliştirme,Intel Core i7-1355U,16GB,512GB SSD,Intel Iris Xe Graphics,14 inç 2.8K OLED 90Hz,Windows 11 Home,34952,,,,,,,,,,,,,,
27519,Telefon,iPhone 17 256GB,Amiral Gemisi,Fotoğrafçılık,Apple A19,8GB,256GB,,6.3 inç Super Retina XDR OLED 120Hz,iOS 18,84788,3726,48+48MP,Evet,Evet,IP68,,,,,,,,,
27520,Bilgisayar,Asus VivoBook 16X i5,Orta Segment,Multitasking,Intel Core i5-13500H,16GB,512GB SSD,NVIDIA RTX 2050 4GB,16 inç WUXGA IPS 60Hz,Windows 11 Home,24559,,,,,,,,,,,,,,
27521,Tablet,Apple iPad 10. nesil Wi-Fi 256GB,Orta Segment,Medya Tüketimi,Apple A14 Bionic,4GB,256GB,,10.9 inç IPS 60Hz,iPadOS 18,20154,,,Hayır,Evet,IP68,,,,,,,,,
27522,Bilgisayar,Lenovo ThinkPad X1 Carbon i7,İş İstasyonu,Yazılım Geliştirme,Intel Core i7-1365U,32GB,1TB SSD,Intel Iris Xe Graphics,14 inç 2K IPS 60Hz,Windows 11 Pro,67327,,,,,,,,,,,,,,
27523,Telefon,iPhone 17e 256GB,Amiral Gemisi,Günlük Kullanım,Apple A19,8GB,256GB,,6.1 inç Super Retina XDR OLED 60Hz,iOS 18,58417,3279,48MP,Evet,Evet,IP68,,,,,,,,,
27524,Bilgisayar,MacBook Air M4 13 8GB 256GB,Üst Segment,Günlük Kullanım,Apple M4,8GB,256GB SSD,Apple M4 GPU 10-core,13.6 inç Liquid Retina 60Hz,macOS Sequoia,44088,,,,,,,,,,,,,,
27525,Bilgisayar,Huawei MateBook X Pro i7,Üst Segment,İçerik Üretimi,Intel Core i7-1360P,16GB,1TB SSD,Intel Iris Xe Graphics,14.2 inç 3.1K OLED 90Hz,Windows 11 Pro,62621,,,,,,,,,,,,,,
27526,Telefon,Redmi 14C 128GB,Giriş Seviyesi,Bütçe Dostu,MediaTek Helio G91 Ultra,4GB,128GB,,6.88 inç IPS LCD 90Hz,Android 14,5427,5160,50+0.08MP,Hayır,Hayır,Yok,,,,,,,,,
27527,Telefon,Xiaomi 14T Pro 512GB,Üst Segment,Fotoğrafçılık,MediaTek Dimensity 9300+,12GB,512GB,,6.67 inç AMOLED 144Hz,Android 15,29609,5000,50+50+12MP,Evet,Evet,IP68,,,,,,,,,
27528,Akıllı Saat / Bileklik,Huawei Band 9,Giriş Seviyesi,Fitness Takibi,—,,,,,RTOS,2020,,,,,5ATM,Hayır,,,,,,,,14
27529,Telefon,iPhone 16 Pro 128GB,Amiral Gemisi,Fotoğrafçılık,Apple A18 Pro,8GB,128GB,,6.3 inç Super Retina XDR ProMotion OLED 120Hz,iOS 18,100911,3582,48+48+12MP,Evet,Evet,IP68,,,,,,,,,
27530,Telefon,iPhone 16 Plus 128GB,Amiral Gemisi,Günlük Kullanım,Apple A18,8GB,128GB,,6.7 inç Super Retina XDR OLED 60Hz,iOS 18,80206,4674,48+12MP,Evet,Evet,IP68,,,,,,,,,
27531,Kulaklık,Nothing Ear (open),Orta Segment,Günlük Kullanım,,,,,,,2941,,,,,,,Açık Tasarım TWS,16.5mm,20Hz-20kHz,Yok,3 mikrofon,Bluetooth 5.3,8 saat (kılıfla 30),
27532,Telefon,iPhone 17 Pro Max 1TB,Amiral Gemisi,Video İçerik Üretimi,Apple A19 Pro,8GB,1TB,,6.9 inç Super Retina XDR ProMotion OLED 120Hz,iOS 18,161308,4685,48+48+12MP,Evet,Evet,IP68,,,,,,,,,
